Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1)
2021-02-21,Gaziantep,Antalyaspor,0,0,7.0,4.0,2.0,1.0,9.0,13.0,1.4361702127659575,1.2446808510638299,0.9361702127659575,1.648936170212766,0.8995367192862045,0.7476526463563602,0.994038177541979,1.0328014184397163,1.48327863286555,0.930588932166959,0.08946859894567434,0.083258487955329,0.13270686112853602,0.12349553618883326
2021-02-21,Sivasspor,Kayserispor,2,0,6.0,5.0,3.0,5.0,21.0,7.0,1.3085106382978724,1.053191489361702,1.0638297872340425,1.8085106382978724,0.8195778997940975,0.8496052799504094,0.8411092271509052,1.1327499428048502,1.4822153506914528,0.8947970501605375,0.09282749499009965,0.08306176869093324,0.13759033804055965,0.12311542860928394
2021-02-22,Ankaragucu,Rizespor,1,1,5.0,1.0,2.0,1.0,14.0,7.0,1.2456140350877194,1.2456140350877194,1.118421052631579,2.039473684210526,0.7801829843425769,0.8932034456320751,0.9947834453314092,1.2774122807017543,1.5911626654355189,1.1125867480680234,0.0669540032838913,0.07449213678376038,0.10653471032677495,0.1185291069188354
2021-02-26,Besiktas,Denizlispor,3,0,9.0,6.0,0.0,1.0,14.0,6.0,1.9680851063829787,0.9893617021276596,1.05,2.5,1.2326984671699839,0.8385604113110541,0.7901329103538808,1.5658602150537633,3.0817461679249596,0.8296395558715749,0.020012749694773877,0.016603368768541196,0.0616742146815108,0.051167368077096785
2021-02-26,Genclerbirligi,Yeni Malatyaspor,1,1,13.0,4.0,3.0,0.0,13.0,12.0,1.35,1.75,0.7692307692307693,1.5128205128205128,0.8455645161290323,0.6143299716564499,1.3976006855184233,0.9475461814171491,1.2791873449131512,1.0750774503987872,0.09496329833798078,0.10209290065865576,0.12147584946515709,0.13059594652802797
2021-02-26,Konyaspor,Gaziantep,0,0,6.0,7.0,2.0,2.0,10.0,13.0,1.3829787234042554,1.0,1.0425531914893618,1.797872340425532,0.8662205444978266,0.8326131743514013,0.7986289631533848,1.1260867078471746,1.557353957660986,0.8326131743514014,0.09163269561031401,0.07629458956647926,0.14270454115986697,0.11881768100947705
2021-02-27,Antalyaspor,Buyuksehyr,0,0,2.0,2.0,1.0,0.0,1.0,2.0,1.425531914893617,1.202127659574468,1.2659574468085106,1.3297872340425532,0.8928734843285289,1.0110302831409872,0.9600539663439626,0.8329043697094486,1.1873317610751712,1.2153874680311867,0.09047160548022076,0.10995805551332194,0.10741981066212863,0.130556691697034
2021-02-27,Rizespor,Sivasspor,0,0,3.0,4.0,3.0,2.0,11.0,7.0,1.4736842105263157,1.3289473684210527,1.2765957446808511,1.7234042553191489,0.9230333899264289,1.0195263359404914,1.0613358589275246,1.0794440631434454,1.590759672000867,1.354896841184074,0.052567537203964426,0.07122359010647769,0.08362231824047182,0.11329961483650465
2021-02-27,Galatasaray,Erzurum BB,2,0,5.0,3.0,3.0,3.0,10.0,8.0,2.276595744680851,0.9042553191489362,1.3,1.9,1.425932280942576,1.0382176520994002,0.7221644879578479,1.1900537634408601,2.7092713337908947,0.9388138343452023,0.02604094510003808,0.024447599519339662,0.07055198606435564,0.066235180557747
2021-02-27,Karagumruk,Alanyaspor,2,0,4.0,7.0,2.0,3.0,10.0,8.0,1.9078947368421053,1.1578947368421053,1.1382978723404256,1.5638297872340425,1.1949985851726088,0.909077649546938,0.9247282731249719,0.9794955387783115,1.8687743831954629,1.0526162257911913,0.05385873875425153,0.05669258231337402,0.10064983129516196,0.10594564554443352
2021-02-27,Hatayspor,Ankaragucu,4,1,14.0,4.0,1.0,3.0,19.0,6.0,1.4574468085106382,1.4680851063829787,1.1228070175438596,1.736842105263158,0.9128631892015556,0.8967062042423969,1.172455286331565,1.0878607809847198,1.5854992233500702,1.316441023249476,0.05491656494286648,0.07229441894673345,0.0870701710659685,0.11462274509259049
2021-02-28,Goztep,Kasimpasa,1,0,3.0,4.0,3.0,2.0,5.0,6.0,1.5614035087719298,1.3508771929824561,1.351063829787234,1.5957446808510638,0.9779758536125259,1.0789987055370198,1.0788496519791337,0.9994852436513383,1.5605997664029667,1.457594742567553,0.04888940811293865,0.07126094423265884,0.07629679888063137,0.11120981292314225
2021-02-28,Trabzonspor,Fenerbahce,0,1,5.0,7.0,1.0,2.0,16.0,12.0,1.925531914893617,1.074468085106383,2.1595744680851063,0.925531914893617,1.2060455273392816,1.724698718299331,0.8581013327499135,0.5797014413177762,1.1162336263672075,1.8531337292365153,0.051335777352667575,0.0951320605288043,0.05730272091674768,0.10618960490785188
2021-03-02,Gaziantep,Genclerbirligi,2,1,7.0,3.0,0.0,2.0,15.0,14.0,1.4361702127659575,1.2446808510638299,0.85,2.05,0.8995367192862045,0.6788346186803771,0.994038177541979,1.284005376344086,1.8440502745367193,0.8449324509106823,0.06795002805911454,0.05741318374743728,0.12530326789718796,0.10587279725148883
2021-03-02,Yeni Malatyaspor,Besiktas,0,1,4.0,10.0,2.0,0.0,9.0,13.0,1.1794871794871795,1.6666666666666667,1.5851063829787233,1.2553191489361701,0.7387648194099807,1.2659118671261098,1.331048271922308,0.7862617250057194,0.9273856243657204,2.1098531118768498,0.04796715676927568,0.101203654977541,0.04448405162952312,0.0938548147594398
2021-03-03,Ankaragucu,Galatasaray,2,1,1.0,5.0,6.0,4.0,8.0,8.0,1.2456140350877194,1.2456140350877194,1.946808510638298,0.9361702127659575,0.7801829843425769,1.554777662309249,0.9947834453314092,0.5863646762754519,0.73038407044837,1.9366528776132754,0.06945772755634629,0.13451550794447695,0.05073081777669811,0.09824798423091712
2021-03-03,Kayserispor,Rizespor,2,1,4.0,6.0,0.0,0.0,7.0,17.0,1.4148936170212767,1.2553191489361701,1.118421052631579,2.039473684210526,0.8862102493708534,0.8932034456320751,1.002534230341483,1.2774122807017543,1.8074024822695034,1.1212553891977113,0.0534687519474632,0.05995212627476873,0.09663955499369732,0.10835762184635173
